REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
PACHECO,-22.7105226,-42.6230912,10322,CONCORRENTES,0,0,0,0
PACHECO,-22.5344791,-41.963179,10323,CONCORRENTES,0,0,0,0
PACHECO,-22.524282,-41.9400145,10324,CONCORRENTES,0,0,0,0
PACHECO,-22.5080798,-41.9275486,10325,CONCORRENTES,0,0,0,0
PACHECO,-22.5257077,-41.9423406,10326,CONCORRENTES,0,0,0,0
PACHECO,-22.8618881,-43.4896034,10327,CONCORRENTES,0,0,0,0
PACHECO,-23.0201203,-43.4838537,10328,CONCORRENTES,0,0,0,0
PACHECO,-22.8766807,-43.3432929,10329,CONCORRENTES,0,0,0,0
PACHECO,-22.9662825,-43.1803786,10330,CONCORRENTES,0,0,0,0
PACHECO,-23.007561,-43.3078555,10331,CONCORRENTES,0,0,0,0
PACHECO,-22.9860265,-43.227455,10332,CONCORRENTES,0,0,0,0
PACHECO,-22.9840653,-43.219025,10333,CONCORRENTES,0,0,0,0
PACHECO,-22.9836372,-43.2196299,10334,CONCORRENTES,0,0,0,0
PACHECO,-22.983799,-43.220972,10335,CONCORRENTES,0,0,0,0
